10-000-maniacs--a-campfire-song	10,000 Maniacs	A Campfire Song
cocciante--e-passata-una-nuvola	Cocciante	E' passata una nuvola
cocciante--in-bicicletta	Cocciante	In bicicletta
cocciante--io-canto	Cocciante	Io canto
cocciante--margherita	Cocciante	Margherita
cocciante--parole-sante-zia-lucia	Cocciante	Parole sante, zia Lucia
cocciante--quando-finisce-un-amore	Cocciante	Quando finisce un amore
cocciante--questione-di-feeling	Cocciante	Questione di feeling (feat. Mina)
cocciante--se-stiamo-insieme	Cocciante	Se stiamo insieme
cocciante--sincerita	Cocciante	Sincerita
cocciante--tu-sei-il-mio-amico-carissimo	Cocciante	Tu sei il mio amico carissimo
cocciante--un-buco-nel-cuore	Cocciante	Un buco nel cuore
cocciante--un-nuovo-amico	Cocciante	Un nuovo amico
cock-robin--the-promise-you-made	Cock Robin	The Promise You Made
cocker--up-where-we-belong	Cocker	Up Where We Belong
cole-porter--anything-goes	Cole Porter	Anything Goes
cole-porter--i-ve-got-you-under-my-skin	Cole Porter	I've Got You Under My Skin
cole-porter--just-one-of-those-things	Cole Porter	Just One of Those Things
cole-porter--night-and-day	Cole Porter	Night and Day
cole-porter--what-is-this-thing-called-love	Cole Porter	What Is This Thing Called Love
collective-soul--december	Collective Soul	December
collective-soul--gel	Collective Soul	Gel
collective-soul--precious-declaration	Collective Soul	Precious Declaration
collective-soul--run	Collective Soul	Run
collective-soul--shine	Collective Soul	Shine
collective-soul--smashing-young-man	Collective Soul	Smashing Young Man
collective-soul--the-world-i-know	Collective Soul	The World I Know
collective-soul--where-the-river-flows	Collective Soul	Where the River Flows
collins-phil--a-groovy-kind-of-love	Collins Phil	A Groovy Kind of Love
collins-phil--against-all-odds	Collins Phil	Against All Odds
collins-phil--another-day-in-paradise	Collins Phil	Another Day in Paradise
collins-phil--both-sides-of-the-story	Collins Phil	Both Sides Of The Story
collins-phil--dance-into-the-night	Collins Phil	Dance Into the Night
collins-phil--do-you-remember	Collins Phil	Do You Remember
collins-phil--don-t-lose-my-number	Collins Phil	Don't Lose My Number
collins-phil--easy-lover	Collins Phil	Easy Lover
collins-phil--every-day	Collins Phil	Every Day
collins-phil--everyday	Collins Phil	Everyday
collins-phil--hang-in-long-enough	Collins Phil	Hang In Long Enough
collins-phil--i-don-t-care-anymore	Collins Phil	I Don't Care Anymore
collins-phil--i-wish-it-would-rain-down	Collins Phil	I Wish It Would Rain Down
collins-phil--i-wish-it-would-rain-now	Collins Phil	I Wish It Would Rain Now
collins-phil--in-the-air-tonight	Collins Phil	In The Air Tonight
collins-phil--inside-out	Collins Phil	Inside Out
collins-phil--one-more-night	Collins Phil	One More Night
collins-phil--saturday-night-and-sunday-morning	Collins Phil	Saturday Night and Sunday Morning
collins-phil--something-happened-on-the-way-to-heaven	Collins Phil	Something Happened on the Way to Heaven
collins-phil--sussudio	Collins Phil	Sussudio
collins-phil--take-me-home	Collins Phil	Take Me Home
collins-phil--the-west-side	Collins Phil	The West Side
collins-phil--true-colours	Collins Phil	True Colours
collins-phil--two-hearts	Collins Phil	Two Hearts
collins-phil--you-can-t-hurry-love	Collins Phil	You Can't Hurry Love
collins-phil--you-ll-be-in-my-heart	Collins Phil	You'll Be in My Heart
color-me-badd--i-adore-mi-amor	Color Me Badd	I Adore Mi Amor
color-me-badd--i-wanna-sex-you-up	Color Me Badd	I Wanna Sex You Up
commander-cody--hot-rod-lincoln	Commander Cody	Hot Rod Lincoln
commodores--brick-house	Commodores	Brick House
commodores--brickhouse	Commodores	Brickhouse
commodores--easy	Commodores	Easy
commodores--lady	Commodores	Lady (You Bring Me Up)
commodores--night-shift	Commodores	Night Shift
commodores--nightshift	Commodores	Nightshift
commodores--still	Commodores	Still
commodores--three-times-a-lady	Commodores	Three Times A Lady
communards--don-t-leave-me-this-way	Communards	Don't Leave Me This Way
communards--never-can-say-goodbye	Communards	Never Can Say Goodbye
confederate-railroad--trashy-woman	Confederate Railroad	Trashy Woman
connie-francis--stupid-cupid	Connie Francis	Stupid Cupid
connie-francis--where-the-boys-are	Connie Francis	Where the Boys Are
conquistador--argentina	Conquistador	Argentina
conway-twitty--i-d-just-love-to-lay-you-down	Conway Twitty	I'd Just Love to Lay You Down
coolio--1-2-3-4	Coolio	1, 2, 3, 4 (Sumpin' New)
coolio--c-u-when-u-get-there	Coolio	C U When U Get There
coolio--fantastic-voyage	Coolio	Fantastic Voyage
coolio--gangsta-s-paradise	Coolio	Gangsta's Paradise (Dangerous Minds)
coolio--too-hot	Coolio	Too Hot
cordalis-costa--am-strand-von-griechenland	CORDALIS,COSTA	Am Strand von Griechenland
cordalis-costa--du-hast-ja-tranen-in-den-augen	CORDALIS,COSTA	Du hast ja Tranen in den Augen
cordalis-costa--shangri-la	CORDALIS,COSTA	Shangri-La
corduroy--high-havoc	Corduroy	High Havoc
corduroy--money-is	Corduroy	Money Is
corey-hart--in-your-soul	Corey Hart	In Your Soul
corey-hart--sunglasses-at-night	Corey Hart	Sunglasses At Night
cornelius-brothers--it-s-too-late-to-turn-back-now	Cornelius Brothers	It's Too Late to Turn Back Now
cornelius-brothers-sister-rose--treat-her-like-a-lady	Cornelius Brothers & Sister Rose	Treat Her Like A Lady
corona--baby-baby	Corona	Baby Baby
corona--rhythm-of-the-night	Corona	Rhythm of the Night
corry-konings--ik-wil-altijd-bij-je-zijn	Corry Konings	Ik wil altijd bij je zijn (feat. Koos Alberts)
corry-konings--mooi-was-die-tijd	Corry Konings	Mooi was die tijd
corry-konings--n-wonder	Corry Konings	'n Wonder
cosmix--quietsche-entchen	Cosmix	Quietsche-Entchen (feat. Ernie)
count-basie--going-to-chicago-blues	Count Basie	Going To Chicago Blues
counting-crows--anna-begins	Counting Crows	Anna Begins
counting-crows--mr-jones	Counting Crows	Mr. Jones
counting-crows--raining-in-baltimore	Counting Crows	Raining in Baltimore
counting-crows--round-here	Counting Crows	Round Here
crash-test-dummies--mmm-mmm-mmm	Crash Test Dummies	Mmm Mmm Mmm
cream--badge	Cream	Badge
cream--strange-brew	Cream	Strange Brew
cream--sunshine-of-your-love	Cream	Sunshine Of Your Love
cream--white-room	Cream	White Room
creation--painter-man	Creation	Painter Man
creed--higher	Creed	Higher
creed--my-own-prison	Creed	My Own Prison
creed--my-sacrifice	Creed	My Sacrifice
creed--one-last-breath	Creed	One Last Breath
creed--torn	Creed	Torn
creed--what-s-this-life-for	Creed	What's This Life For
creed--with-arms-wide-open	Creed	With Arms Wide Open (Strings version)
creedence-clearwater-revival--bad-moon-rising	Creedence Clearwater Revival	Bad Moon Rising
creedence-clearwater-revival--born-on-the-bayou	Creedence Clearwater Revival	Born On The Bayou
creedence-clearwater-revival--down-on-the-corner	Creedence Clearwater Revival	Down on the Corner
creedence-clearwater-revival--fortunate-son	Creedence Clearwater Revival	Fortunate Son
creedence-clearwater-revival--green-river	Creedence Clearwater Revival	Green River
creedence-clearwater-revival--have-you-ever-seen-the-rain	Creedence Clearwater Revival	Have You Ever Seen the Rain
creedence-clearwater-revival--hey-tonight	Creedence Clearwater Revival	Hey Tonight
creedence-clearwater-revival--i-heard-it-through-the-grapevine	Creedence Clearwater Revival	I Heard It Through The Grapevine
creedence-clearwater-revival--i-put-a-spell-on-you	Creedence Clearwater Revival	I Put A Spell On You
creedence-clearwater-revival--lodi	Creedence Clearwater Revival	Lodi
creedence-clearwater-revival--long-as-i-can-see-the-light	Creedence Clearwater Revival	Long As I Can See The Light
creedence-clearwater-revival--lookin-out-my-back-door	Creedence Clearwater Revival	Lookin' Out My Back Door
creedence-clearwater-revival--midnight-special	Creedence Clearwater Revival	Midnight Special
creedence-clearwater-revival--proud-mary	Creedence Clearwater Revival	Proud Mary
creedence-clearwater-revival--someday-never-comes	Creedence Clearwater Revival	Someday Never Comes
creedence-clearwater-revival--suzie-q	Creedence Clearwater Revival	Suzie Q
creedence-clearwater-revival--sweet-hitch-hiker	Creedence Clearwater Revival	Sweet Hitch-Hiker
creedence-clearwater-revival--travelin-band	Creedence Clearwater Revival	Travelin' Band
creedence-clearwater-revival--up-around-the-bend	Creedence Clearwater Revival	Up Around The Bend
creedence-clearwater-revival--who-ll-stop-the-rain	Creedence Clearwater Revival	Who'll Stop the Rain
crests--sixteen-candles	Crests	Sixteen Candles
crickets--oh-boy	Crickets	Oh Boy
croce-jim--bad-bad-leroy-brown	Croce Jim	Bad Bad Leroy Brown
crosby-bing--white-christmas	Crosby Bing	White Christmas
crosby-stills-nash--got-it-made	Crosby, Stills, Nash	Got It Made
crosby-stills-nash--southern-cross	Crosby, Stills & Nash	Southern Cross
crosby-stills-nash--suite-judy-blue-eyes	Crosby, Stills & Nash	Suite: Judy Blue Eyes
crosby-stills-nash--teach-your-children	Crosby, Stills & Nash	Teach Your Children
crosby-stills-nash-young--carry-on	Crosby, Stills, Nash & Young	Carry On
crosby-stills-nash-young--chicago	Crosby, Stills, Nash & Young	Chicago
crosby-stills-nash-young--guinnevere	Crosby, Stills, Nash & Young	Guinnevere
crosby-stills-nash-young--heart-of-gold	Crosby, Stills, Nash & Young	Heart of Gold
crosby-stills-nash-young--horses-through-a-rainstorm	Crosby, Stills, Nash & Young	Horses Through a Rainstorm
crosby-stills-nash-young--marrakesh-express	Crosby, Stills, Nash & Young	Marrakesh Express
crosby-stills-nash-young--ohio	Crosby, Stills, Nash & Young	Ohio
crosby-stills-nash-young--our-house	Crosby, Stills, Nash & Young	Our House
crosby-stills-nash-young--roger-and-out	Crosby, Stills, Nash & Young	Roger and Out
crosby-stills-nash-young--woodstock	Crosby, Stills, Nash & Young	Woodstock
crow-sheryl--a-change-would-do-you-good	Crow Sheryl	A Change Would Do You Good
crow-sheryl--all-i-wanna-do	Crow Sheryl	All I Wanna Do
crow-sheryl--everyday-is-a-winding-road	Crow Sheryl	Everyday Is a Winding Road
crow-sheryl--home	Crow Sheryl	Home
crow-sheryl--if-it-makes-you-happy	Crow Sheryl	If It Makes You Happy
crow-sheryl--my-favorite-mistake	Crow Sheryl	My Favorite Mistake
crow-sheryl--run-baby-run	Crow Sheryl	Run Baby Run
crow-sheryl--strong-enough	Crow Sheryl	Strong Enough
crow-sheryl--tomorrow-never-dies	Crow Sheryl	Tomorrow Never Dies
crowd--you-ll-never-walk-alone	Crowd	You'll Never Walk Alone
crowded-house--don-t-dream-it-s-over	Crowded House	Don't Dream It's Over
crowded-house--something-so-strong	Crowded House	Something So Strong
crusaders--streetlife	Crusaders	Streetlife
crystal-gayle--don-t-it-make-my-brown-eyes-blue	Crystal Gayle	Don't It Make My Brown Eyes Blue
crystal-gayle--straight-to-the-heart	Crystal Gayle	Straight to the Heart
crystal-waters--100-pure-love	Crystal Waters	100% Pure Love
crystal-waters--gipsy-woman	Crystal Waters	Gipsy Woman
crystals--da-doo-ron-ron	Crystals	Da Doo Ron Ron
crystals--then-he-kissed-me	Crystals	(and) Then He Kissed Me
culture-beat--anything	Culture Beat	Anything
culture-beat--crying-in-the-rain	Culture Beat	Crying in the Rain
culture-beat--got-to-get-it	Culture Beat	Got to Get It
culture-beat--inside-out	Culture Beat	Inside Out
culture-beat--mr-vain	Culture Beat	Mr Vain (Mr Trance)
culture-beat--world-in-your-hands	Culture Beat	World in Your Hands
culture-club--church-of-the-poison-mind	Culture Club	Church of the Poison Mind
culture-club--do-you-really-want-to-hurt-me	Culture Club	Do You Really Want to Hurt Me
culture-club--i-ll-tumble-4-ya	Culture Club	I'll Tumble 4 Ya
culture-club--karma-chameleon	Culture Club	Karma Chameleon
curtis-lee--pretty-little-angel-eyes	Curtis Lee	Pretty Little Angel Eyes
curtis-mayfield--move-on-up	Curtis Mayfield	Move On Up
curtis-stigers--i-wonder-why	Curtis Stigers	I Wonder Why
curtis-stigers--you-re-all-that-matters-to-me	Curtis Stigers	You're All That Matters to Me
cut-n-move--give-it-up	Cut 'n' Move	Give It Up
cutting-crew--died-in-your-arms	Cutting Crew	(I Just) Died in Your Arms
cyndi-lauper--all-through-the-night	Cyndi Lauper	All Through The Night
cyndi-lauper--girls-just-wanna-have-fun	Cyndi Lauper	Girls Just Wanna Have Fun
cyndi-lauper--i-drove-all-night	Cyndi Lauper	I Drove All Night
cyndi-lauper--she-bop	Cyndi Lauper	She Bop
cyndi-lauper--the-goonies-r-good-enough	Cyndi Lauper	The Goonies R Good Enough
cyndi-lauper--time-after-time	Cyndi Lauper	Time After Time
cyndi-lauper--true-colors	Cyndi Lauper	True Colors
cyndi-lauper--what-s-going-on	Cyndi Lauper	What's Going On
d-ream--things-can-only-get-better	D:Ream	Things Can Only Get Better
d-ream--ur-the-best-thing	D:Ream	UR the Best Thing
daft-punk--around-the-world-harder-better-faster-stronger	Daft Punk	Around the World   Harder Better Faster Stronger
daft-punk--one-more-time	Daft Punk	One More Time
dalla--4-marzo-1943	Dalla	4 marzo 1943
dalla--amen	Dalla	Amen
dalla--anna-e-marco	Dalla	Anna e Marco
dalla--apriti-cuore	Dalla	Apriti cuore
dalla--attenti-al-lupo	Dalla	Attenti al lupo
dalla--ayrton	Dalla	Ayrton
dalla--balla-balla-ballerino	Dalla	Balla balla ballerino
dalla--bisogna-saper-perdere	Dalla	Bisogna saper perdere
dalla--canzone	Dalla	Canzone
dalla--cara	Dalla	Cara
dalla--caruso	Dalla	Caruso
dalla--chissa-se-lo-sai	Dalla	Chissa se lo sai
dalla--ciao	Dalla	Ciao
dalla--com-e-profondo-il-mare	Dalla	Com'e profondo il mare
dalla--come-e-profondo-il-mare	Dalla	Come e profondo il mare
dalla--cosa-sara	Dalla	Cosa sara
dalla--disperato-erotico-stomp	Dalla	Disperato erotico stomp
dalla--don-t-touch-me	Dalla	Don't Touch Me
dalla--futura	Dalla	Futura
dalla--l-anno-che-verra	Dalla	L'anno che verra
dalla--l-ultima-luna	Dalla	L'ultima Luna
dalla--liberi	Dalla	Liberi
dalla--non-vergognarsi-mai	Dalla	Non vergognarsi mai
dalla--nuvolari	Dalla	Nuvolari
dalla--piazza-grande	Dalla	Piazza grande (feat. Lucio Dalla) (unplugged)
dalla--stella-di-mare	Dalla	Stella di mare
dalla--telefonami-tra-vent-anni	Dalla	Telefonami tra vent'anni
dalla--tu-non-mi-basti-mai	Dalla	Tu non mi basti mai
dalla--vita	Dalla	Vita
dalla-lucio--4-marzo-1943	Dalla Lucio	4 marzo 1943
dalla-lucio--anna-e-marco	Dalla Lucio	Anna e Marco
dalla-lucio--attenti-al-lupo	Dalla Lucio	Attenti al lupo
dalla-lucio--balla-balla-ballerino	Dalla Lucio	Balla balla ballerino
dalla-lucio--disperato-erotico-stomp	Dalla Lucio	Disperato erotico stomp
dalla-lucio--l-anno-che-verra	Dalla Lucio	L'anno che verra
dalla-lucio--piazza-grande	Dalla Lucio	Piazza grande
dallara--come-prima	Dallara	Come prima
dallara--romantica	Dallara	Romantica
dan-fogelberg--leader-of-the-band	Dan Fogelberg	Leader Of The Band
dan-fogelberg--longer	Dan Fogelberg	Longer
dan-fogelberg--same-old-lang-syne	Dan Fogelberg	Same Old Lang Syne
dan-hartman--instant-replay	Dan Hartman	Instant Replay
dan-hartman--relight-my-fire	Dan Hartman	Relight My Fire
dan-hill--somethime-when-we-touch	Dan Hill	Somethime When We Touch
dance-2-trance--power-of-american-natives	Dance 2 Trance	Power of American Natives (Markus Schulz Return to Coldharbour remix)
daniel--der-sommer-als-jenny-sich-verliebte	Daniel	Der Sommer, als Jenny sich verliebte
daniel-boone--beautiful-sunday	Daniel Boone	Beautiful Sunday
daniele--a-me-me-piace-o-blues	Daniele	A me me piace 'o blues
daniele--a-testa-in-giu	Daniele	A testa in giu
daniele--alibi-perfetto	Daniele	Alibi perfetto
daniele--alleria	Daniele	Alleria
daniele--amici-come-prima	Daniele	Amici come prima
daniele--amore-senza-fine	Daniele	Amore senza fine
daniele--anima	Daniele	Anima
daniele--bambina	Daniele	Bambina
daniele--canto-do-mar	Daniele	Canto do mar
daniele--carte-e-cartuscelle	Daniele	Carte e cartuscelle
daniele--che-dio-ti-benedica	Daniele	Che Dio ti benedica
daniele--che-male-c-e	Daniele	Che male c'e
daniele--cosa-penserai-di-me	Daniele	Cosa penserai di me
daniele--dubbi-non-ho	Daniele	Dubbi non ho
daniele--e-so-cuntento-e-sta	Daniele	E so cuntento 'e sta
daniele--fatte-na-pizza	Daniele	Fatte 'na pizza
daniele--gente-distratta	Daniele	Gente distratta
daniele--i-say-i-sto-cca	Daniele	I say i' sto' cca
daniele--il-pianeta-delle-parole	Daniele	Il pianeta delle parole
daniele--io-per-lei	Daniele	Io per lei
daniele--io-vivo-come-te	Daniele	Io vivo come te
daniele--je-so-pazzo	Daniele	Je so' pazzo
daniele--je-sto-vicino-a-te	Daniele	Je sto vicino a te
daniele--musica-musica	Daniele	Musica musica
daniele--na-tazzulella-e-cafe	Daniele	'Na tazzulella 'e cafe
daniele--neve-al-sole	Daniele	Neve al sole
daniele--non-ho-paura-del-mostro	Daniele	Non ho paura del mostro
daniele--notte-che-fai	Daniele	Notte che fai
daniele--nun-me-scuccia	Daniele	Nun me scuccia
daniele--o-scarrafone	Daniele	'O scarrafone
daniele--occhi-blu-non-mi-mollare	Daniele	Occhi blu non mi mollare
daniele--putesse-essere-allero	Daniele	Putesse essere allero
daniele--quando	Daniele	Quando
daniele--quanno-chiove	Daniele	Quanno chiove
daniele--questa-primavera	Daniele	Questa primavera
daniele--resta-resta-cu-mme	Daniele	Resta... resta cu' mme
daniele--scirocco-d-africa	Daniele	Scirocco d'Africa
daniele--se-mi-vuoi	Daniele	Se mi vuoi
daniele--si-forever	Daniele	Si Forever
daniele--sicily	Daniele	Sicily
daniele--stare-bene-a-meta	Daniele	Stare bene a meta
daniele--terra-mia	Daniele	Terra mia
daniele--the-desert-in-my-head	Daniele	The Desert in My Head
daniele--tutta-nata-storia	Daniele	Tutta 'nata storia
daniele--viento-e-terra	Daniele	Viento 'e terra
daniele--yes-i-know-my-way	Daniele	Yes I Know My Way
danilo-amerio--bisogno-d-amore	Danilo Amerio	Bisogno d'amore
dannii-minogue--this-is-it	Dannii Minogue	This Is It
danny-the-juniors--at-the-hop	Danny & The Juniors	At the Hop
danyel-gerard--butterfly	Danyel Gerard	Butterfly
darin-bobby--beyond-the-sea	Darin Bobby	Beyond the Sea
darin-bobby--dream-lover	Darin Bobby	Dream Lover
darin-bobby--if-i-were-a-carpenter	Darin Bobby	If I Were a Carpenter
darin-bobby--splish-splash	Darin Bobby	Splish Splash
darts--duke-of-earl	Darts	Duke of Earl
darude--feel-the-beat	Darude	Feel the Beat
darude--sandstorm	Darude	Sandstorm
daryl-hall-john-oates--kiss-on-my-list	Daryl Hall & John Oates	Kiss On My List
daryl-hall-john-oates--maneater	Daryl Hall & John Oates	Maneater
daryl-hall-john-oates--rich-girl	Daryl Hall & John Oates	Rich Girl
daryl-hall-john-oates--sara-smile	Daryl Hall & John Oates	Sara Smile
dave-baby-cortez--the-happy-organ	Dave "Baby" Cortez	The Happy Organ
dave-brubeck--take-five	Dave Brubeck	Take Five
dave-dudley--six-days-on-the-road	Dave Dudley	Six Days On The Road
dave-grusin--mountain-dance	Dave Grusin	Mountain Dance
dave-mason--we-just-disagree	Dave Mason	We Just Disagree
dave-matthews-band--40	Dave Matthews Band	#40
dave-matthews-band--ants-marching	Dave Matthews Band	Ants Marching
dave-matthews-band--crash-into-me	Dave Matthews Band	Crash Into Me
dave-matthews-band--crush	Dave Matthews Band	Crush
dave-matthews-band--dancing-nancies	Dave Matthews Band	Dancing Nancies
dave-matthews-band--don-t-drink-the-water	Dave Matthews Band	Don't Drink the Water
dave-matthews-band--halloween	Dave Matthews Band	Halloween
